gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
ASEPUSLS_CDS_0011	7528	7863	+	AB720063.2	-28.62257	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	40	54.834675	1.5681152177691922e-14	No_custom_HMM	No_custom_HMM	No_custom_HMM	40	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0012	7863	8237	+	AB720063.2	-15.02657	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	25	29.077509	1.908784008526551e-06	No_custom_HMM	No_custom_HMM	No_custom_HMM	25	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head closure Hc1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0013	8227	8694	+	AB720063.2	-355.7687	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5	48.93177	1.4295828251901852e-12	No_custom_HMM	No_custom_HMM	No_custom_HMM	5	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0014	8691	9047	+	AB720063.2	-98.86065	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	347	37.43985	3.1120967992761506e-09	No_custom_HMM	No_custom_HMM	No_custom_HMM	347	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0015	9057	9695	+	AB720063.2	-259.9743	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	584	192.290955	1.8396564331255715e-56	No_custom_HMM	No_custom_HMM	No_custom_HMM	584	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	major tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0016	9695	9997	+	AB720063.2	-68.41211	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	569	74.66909	2.0967143456211468e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	569	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0017	9984	10097	+	AB720063.2	-0.0769205	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0018	10123	10311	+	AB720063.2	-9.33233	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	680	52.565212	8.47825834427473e-14	No_custom_HMM	No_custom_HMM	No_custom_HMM	680	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0019	10406	11917	+	AB720063.2	-128918900.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	559	427.407654	2.1602712873781176e-127	No_custom_HMM	No_custom_HMM	No_custom_HMM	559	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0020	11963	14827	+	AB720063.2	-561903900000.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	24	625.878845	3.4289220427681894e-187	No_custom_HMM	No_custom_HMM	No_custom_HMM	24	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0021	14827	15189	+	AB720063.2	-431.4537	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	384	77.424019	2.6183863845865355e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	384	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0022	15189	15647	+	AB720063.2	-273.1471	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	396	129.697586	1.6968316912530716e-37	No_custom_HMM	No_custom_HMM	No_custom_HMM	396	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0023	15647	16051	+	AB720063.2	-207.4433	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	329	35.697491	5.831890184164731e-09	No_custom_HMM	No_custom_HMM	No_custom_HMM	329	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0024	16064	16669	+	AB720063.2	-1755.967	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	314	90.910332	1.8177571666999675e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	314	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	homing endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0025	16710	21431	+	AB720063.2	-1.558036e+21	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	31	566.309082	3.4902059814512223e-169	No_custom_HMM	No_custom_HMM	No_custom_HMM	31	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	central tail fiber J	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0026	21478	22554	+	AB720063.2	-16940.55	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0027	22556	22855	+	AB720063.2	-16.95552	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	2427	94.796715	6.974465972616544e-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	2427	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0028	22857	23543	+	AB720063.2	-35.91195	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	4062	180.172943	9.279041556511316e-53	No_custom_HMM	No_custom_HMM	No_custom_HMM	4062	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0029	23908	23540	-	AB720063.2	-114.1419	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	16374	235.495071	1.8835105672047686e-70	No_custom_HMM	No_custom_HMM	No_custom_HMM	16374	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0030	24292	23969	-	AB720063.2	-36.78765	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0031	24396	24587	+	AB720063.2	-20.25581	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	14453	70.986107	1.1679304154592149e-19	No_custom_HMM	No_custom_HMM	No_custom_HMM	14453	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0032	24591	25130	+	AB720063.2	-598.6592	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	7	202.814026	1.6729964730381395e-59	No_custom_HMM	No_custom_HMM	No_custom_HMM	7	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0033	25099	25467	+	AB720063.2	-156.8713	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5151	106.747192	1.5236122859488186e-30	No_custom_HMM	No_custom_HMM	No_custom_HMM	5151	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0034	25487	25621	+	AB720063.2	-1.259257	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0035	26278	25676	-	AB720063.2	-752.8376	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	314	88.945572	7.155110573691258e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	314	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	homing endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0036	26382	26293	-	AB720063.2	-2.060118	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0037	26561	26376	-	AB720063.2	-16.28821	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0038	27103	26558	-	AB720063.2	-738.1526	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5070	215.486176	7.789280056772757e-64	No_custom_HMM	No_custom_HMM	No_custom_HMM	5070	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0039	27534	27100	-	AB720063.2	-8.034657	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	23265	68.743553	8.536147388759229e-19	No_custom_HMM	No_custom_HMM	No_custom_HMM	23265	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0040	27853	27587	-	AB720063.2	-22.35908	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0041	30327	27913	-	AB720063.2	-501606000000000.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	414	920.054626	2.517095908767923e-276	No_custom_HMM	No_custom_HMM	No_custom_HMM	414	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	RNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0042	30515	30330	-	AB720063.2	-3.223452	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0043	31165	30602	-	AB720063.2	-1617.264	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5033	218.307343	1.3947831099395989e-64	No_custom_HMM	No_custom_HMM	No_custom_HMM	5033	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin inhibits RNA polymerase	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0044	32233	31175	-	AB720063.2	-591260.6	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	403	338.116028	8.086229975390615e-101	No_custom_HMM	No_custom_HMM	No_custom_HMM	403	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0045	32340	32212	-	AB720063.2	-0.1566143	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0046	33334	32405	-	AB720063.2	-193893.6	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	107	217.492416	8.910325696063478e-64	No_custom_HMM	No_custom_HMM	No_custom_HMM	107	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0047	34215	33334	-	AB720063.2	-89713.84	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	862	251.687653	2.25401552569326e-74	No_custom_HMM	No_custom_HMM	No_custom_HMM	862	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0048	34936	34229	-	AB720063.2	-3264.598	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	2573	166.994461	1.2306382546599303e-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	2573	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0049	35295	35170	-	AB720063.2	-0.3864993	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0050	37113	35296	-	AB720063.2	-312544900000.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	9556	671.693848	1.011572114925703e-201	No_custom_HMM	No_custom_HMM	No_custom_HMM	9556	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0051	38365	37073	-	AB720063.2	-8856672.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	19	185.248489	4.859995321741601e-54	No_custom_HMM	No_custom_HMM	No_custom_HMM	19	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0052	39177	38350	-	AB720063.2	-5854.662	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	47	145.309601	5.562487038528418e-42	No_custom_HMM	No_custom_HMM	No_custom_HMM	47	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0053	39518	39192	-	AB720063.2	-144.0646	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	6418	34.377773	4.71858420198722e-08	No_custom_HMM	No_custom_HMM	No_custom_HMM	6418	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0054	39758	39636	-	AB720063.2	-11.37171	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0055	40066	39758	-	AB720063.2	-239.3767	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	18524	169.820557	2.871163634727525e-50	No_custom_HMM	No_custom_HMM	No_custom_HMM	18524	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0056	40263	40063	-	AB720063.2	-33.22714	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0057	40297	40470	+	AB720063.2	-4.269538	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0058	40539	40691	+	AB720063.2	-5.906251	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0059	40722	40844	+	AB720063.2	-2.165521	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0060	40890	41000	+	AB720063.2	-0.1680546	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0061	41004	41114	+	AB720063.2	-3.868605	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0062	41123	41242	+	AB720063.2	-0.2402024	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
