accession,description,length_bp,source,host_genus,in_interaction_matrix
KX241618.1,"Xanthomonas phage Xoo-sp2, complete genome",60497,canonical_xanthomonas,Xanthomonas,yes
KX356061.1,"Staphylococcus phage BP13, complete genome",,negative_pool,Staphylococcus,no
KX356062.1,"Staphylococcus phage BP14, complete genome",,negative_pool,Staphylococcus,no
KX356063.1,"Staphylococcus phage J1P1, complete genome",,negative_pool,Staphylococcus,no
KX356064.1,"Staphylococcus phage J1P2, complete genome",,negative_pool,Staphylococcus,no
KX356065.1,"Staphylococcus phage J1P3, complete genome",,negative_pool,Staphylococcus,no
KX356066.1,"Staphylococcus phage J2-1P1, complete genome",,negative_pool,Staphylococcus,no
KX356067.1,"Staphylococcus phage J2-1P2, complete genome",,negative_pool,Staphylococcus,no
KY210139.1,"Xanthomonas phage KPhi1, complete genome",46077,canonical_xanthomonas,Xanthomonas,yes
LC890683.1,"Salmonella phage Jafari_IR2025 DNA, complete genome",,negative_pool,Salmonella,no
LC901396.1,"Bacillus phage CM2 DNA, complete genome",,negative_pool,Bacillus,no
MF375456.1,"Xanthomonas phage phi Xc10, complete genome",44597,canonical_xanthomonas,Xanthomonas,yes
MF988720.1,"Pseudoalteromonas phage J2-1_QLiu-2017, complete genome",,negative_pool,Pseudoalteromonas,no
MG944227.1,"Xanthomonas phage XPP1, complete genome",46195,canonical_xanthomonas,Xanthomonas,yes
MG944228.1,"Xanthomonas phage XPP2, complete genome",46480,canonical_xanthomonas,Xanthomonas,yes
MG944229.1,"Xanthomonas phage XPP3, complete genome",49612,canonical_xanthomonas,Xanthomonas,yes
MG944230.1,"Xanthomonas phage XPP4, complete genome",47397,canonical_xanthomonas,Xanthomonas,yes
MG944231.1,"Xanthomonas phage XPP6, complete genome",46281,canonical_xanthomonas,Xanthomonas,yes
MG944232.1,"Xanthomonas phage XPP8, complete genome",46278,canonical_xanthomonas,Xanthomonas,yes
MG944233.1,"Xanthomonas phage XPP9, complete genome",48669,canonical_xanthomonas,Xanthomonas,yes
MG944234.1,"Xanthomonas phage XPV1, complete genome",46503,canonical_xanthomonas,Xanthomonas,yes
MG944235.1,"Xanthomonas phage XPV2, complete genome",45969,canonical_xanthomonas,Xanthomonas,yes
MG944236.1,"Xanthomonas phage XPV3, complete genome",47046,canonical_xanthomonas,Xanthomonas,yes
MG983743.2,"Xanthomonas phage RiverRider, complete genome",76335,canonical_xanthomonas,Xanthomonas,yes
MH059633.1,"Xanthomonas phage Carpasina, complete genome",61939,canonical_xanthomonas,Xanthomonas,yes
MH191395.1,"Xanthomonas phage XcP1, complete genome",61830,canonical_xanthomonas,Xanthomonas,yes
MH517022.1,"Acinetobacter phage SH-Ab 15599, complete genome",143204,canonical_xanthomonas,Acinetobacter,yes
MK095605.1,"Pantoea phage vB_PagS_MED16, complete genome",46103,canonical_xanthomonas,Pantoea,yes
MK095606.1,"Pantoea phage vB_PagS_AAS23, complete genome",51170,canonical_xanthomonas,Pantoea,yes
MK388689.1,"Pantoea phage vB_PagM_LIET2, complete genome",74710,canonical_xanthomonas,Pantoea,yes
MK580972.1,"Stenotrophomonas phage YB07, complete genome",,negative_pool,Stenotrophomonas,no
MK903278.1,"Xanthomonas phage Pagan, complete genome",44448,canonical_xanthomonas,Xanthomonas,yes
MN047793.1,"Xanthomonas phage Xoo-sp13, complete genome",309023,canonical_xanthomonas,Xanthomonas,yes
MN062187.1,"Xanthomonas phage Samson, complete genome",43314,canonical_xanthomonas,Xanthomonas,yes
MN304816.1,"MAG: Phage 67_12, complete genome",47505,canonical_xanthomonas,Unknown,yes
MN364664.1,"UNVERIFIED_ORG: Xanthomonas phage Xoo-sp15, complete genome",157091,canonical_xanthomonas,Unknown,yes
MN461279.1,"Xanthomonas virus phiXaf18, complete genome",47407,canonical_xanthomonas,Unknown,yes
MT119766.1,"Xanthomonas phage PBR31, complete genome",39980,canonical_xanthomonas,Xanthomonas,yes
MT161381.1,"Xanthomonas phage FoX1, complete genome",44763,canonical_xanthomonas,Xanthomonas,yes
MT161382.1,"Xanthomonas phage FoX2, complete genome",44086,canonical_xanthomonas,Xanthomonas,yes
MT161383.1,"Xanthomonas phage FoX3, complete genome",44153,canonical_xanthomonas,Xanthomonas,yes
MT161384.1,"Xanthomonas phage FoX5, complete genome",43872,canonical_xanthomonas,Xanthomonas,yes
MT161385.1,"Xanthomonas phage FoX4, complete genome",60418,canonical_xanthomonas,Xanthomonas,yes
MT161386.1,"Xanthomonas phage FoX6, complete genome",61077,canonical_xanthomonas,Xanthomonas,yes
MT161387.1,"Xanthomonas phage FoX7, complete genome",61010,canonical_xanthomonas,Xanthomonas,yes
MT653137.1,"Salmonella phage S55, complete genome",42781,canonical_xanthomonas,Salmonella,yes
MT664984.1,"Xanthomonas phage Xp12, complete genome",63783,canonical_xanthomonas,Xanthomonas,yes
MT708549.1,"Burkholderia phage Maja, complete genome",68393,canonical_xanthomonas,Burkholderia,yes
MT740307.1,"Pseudomonas phage phiK7A1, complete genome",98780,canonical_xanthomonas,Pseudomonas,yes
MT939492.1,"Xanthomonas phage Xoo-sp14, complete genome",232104,canonical_xanthomonas,Xanthomonas,yes
MT951568.1,"Xanthomonas phage Xaa_vB_phi31, complete genome",42825,canonical_xanthomonas,Xanthomonas,yes
MT980839.1,"Atrivirus PS6, complete genome",,negative_pool,Unknown,no
MW082583.1,"Serratia phage Tsm2, complete genome",39799,canonical_xanthomonas,Serratia,yes
MW435566.1,"Xanthomonas phage X2, complete genome",45966,canonical_xanthomonas,Xanthomonas,yes
MW802488.1,"Xanthomonas phage Olaya, complete genome",43722,canonical_xanthomonas,Xanthomonas,yes
MW822535.1,"Xanthomonas phage Bolivar, complete genome",43782,canonical_xanthomonas,Xanthomonas,yes
MW822536.1,"Xanthomonas phage Usaquen, complete genome",43741,canonical_xanthomonas,Xanthomonas,yes
MW822537.1,"Xanthomonas phage Alcala, complete genome",43741,canonical_xanthomonas,Xanthomonas,yes
MW822538.1,"Xanthomonas phage Fontebon, complete genome",43824,canonical_xanthomonas,Xanthomonas,yes
MW822539.1,"Xanthomonas phage Soumapaz, complete genome",43818,canonical_xanthomonas,Xanthomonas,yes
MW825358.1,"Xanthomonas phage vB_XciM_LucasX, complete genome",305651,canonical_xanthomonas,Xanthomonas,yes
MZ089741.2,"Pseudomonas phage PSA39, complete genome",,negative_pool,Pseudomonas,no
MZ326867.1,"Stenotrophomonas phage Silvanus, complete genome",45678,canonical_xanthomonas,Stenotrophomonas,yes
MZ345003.1,"Xanthomonas phage M29, complete genome",42891,canonical_xanthomonas,Xanthomonas,yes
MZ357961.1,"Bacillus phage Flasso, complete genome",,negative_pool,Bacillus,no
MZ611865.1,"Stenotrophomonas phage StM171, complete genome",,negative_pool,Stenotrophomonas,no
MZ666965.1,"UNVERIFIED: Xanthomonas phage N3, complete genome",38454,canonical_xanthomonas,Unknown,yes
MZ666966.1,"UNVERIFIED: Xanthomonas phage N1, complete genome",41152,canonical_xanthomonas,Unknown,yes
NC_003309.1,"Burkholderia phage phiE125, complete genome",,negative_pool,Burkholderia,no
NC_004313.1,"Salmonella phage ST64B, complete genome",,negative_pool,Salmonella,no
NC_004456.1,"Vibrio phage VHML, complete genome",,negative_pool,Vibrio,no
NC_004902.1,"Xanthomonas phage Xp10, complete genome",44373,canonical_xanthomonas,Xanthomonas,yes
NC_005178.1,"Bacteriophage D3112, complete genome",,negative_pool,Unknown,no
NC_005833.1,"Escherichia phage T1, complete genome",,negative_pool,Escherichia,no
NC_005857.1,"Klebsiella phage phiKO2, complete genome",51601,canonical_xanthomonas,Klebsiella,yes
NC_006565.1,"Lactobacillus phage LP65, complete genome",,negative_pool,Lactobacillus,no
NC_007024.1,"Xanthomonas phage Xp15, complete genome",55770,canonical_xanthomonas,Xanthomonas,yes
NC_007709.1,"Xanthomonas oryzae phage OP1 DNA, complete genome",43785,canonical_xanthomonas,Unknown,yes
NC_007710.1,"Xanthomonas oryzae phage OP2 DNA, complete genome",46643,canonical_xanthomonas,Unknown,yes
NC_009232.2,"Salmonella phage SETP3, complete genome",42572,canonical_xanthomonas,Salmonella,yes
NC_009543.1,"Xanthomonas phage Xop411, complete genome",44520,canonical_xanthomonas,Xanthomonas,yes
NC_009603.1,"Microbacterium phage Min1, complete genome",,negative_pool,Microbacterium,no
NC_011811.1,"Erwinia phage phiEa21-4, complete genome",84576,canonical_xanthomonas,Erwinia,yes
NC_012742.1,"Xanthomonas phage phiL7, complete genome",44080,canonical_xanthomonas,Xanthomonas,yes
NC_013420.1,"Streptomyces phage ZL12, complete genome",,negative_pool,Streptomyces,no
NC_013599.1,"Xylella phage Xfas53, complete genome",,negative_pool,Xylella,no
NC_013693.1,"Shigella phage phiSboM-AG3, complete genome",158006,canonical_xanthomonas,Shigella,yes
NC_013697.1,"Delftia phage PhiW-14, complete genome",157486,canonical_xanthomonas,Delftia,yes
NC_013971.1,BACTERIAL GENOME in phage pool: Erwinia amylovora ATCC 49946 — bacterial genome,,CONTAMINATION,Unknown,no
NC_014663.1,"Acinetobacter phage Acj9, complete genome",169947,canonical_xanthomonas,Acinetobacter,yes
NC_014765.1,"Bathycoccus sp. RCC1105 virus BpV1, complete genome",,negative_pool,Unknown,no
NC_015464.1,"Campylobacter phage NCTC12673, complete genome",135041,canonical_xanthomonas,Campylobacter,yes
NC_016071.1,"Salmonella phage PVP-SE1, complete genome",145964,canonical_xanthomonas,Salmonella,yes
NC_017981.1,"Xanthomonas phage vB_XveM_DIBBI, complete genome",49981,canonical_xanthomonas,Xanthomonas,yes
NC_019401.1,"Cronobacter phage vB_CsaM_GAP32, complete genome",358663,canonical_xanthomonas,Cronobacter,yes
NC_019520.1,"Escherichia phage phiKT, complete genome",42608,canonical_xanthomonas,Escherichia,yes
NC_019933.2,"Xanthomonas phage CP1 DNA, complete genome",43870,canonical_xanthomonas,Xanthomonas,yes
NC_020201.1,"Pectobacterium phage phiTE, complete genome",142349,canonical_xanthomonas,Pectobacterium,yes
NC_020205.1,"Xanthomonas citri phage CP2 DNA, complete genome",42963,canonical_xanthomonas,Unknown,yes
NC_021532.1,"Alteromonas phage vB_AmaP_AD45-P1, complete genome",103910,canonical_xanthomonas,Alteromonas,yes
NC_021777.1,"Salmonella phage Jersey, complete genome",43447,canonical_xanthomonas,Salmonella,yes
NC_022982.1,"Xylella phage Paz, complete genome",43869,canonical_xanthomonas,Xylella,yes
NC_022987.1,"Xylella phage Prado, complete genome",43940,canonical_xanthomonas,Xylella,yes
NC_023556.1,"Achromobacter phage JWAlpha, complete genome",72329,canonical_xanthomonas,Achromobacter,yes
NC_023569.1,"Vibrio phage SHOU24, complete genome",77837,canonical_xanthomonas,Vibrio,yes
NC_024784.1,"Escherichia phage bV_EcoS_AHS24, complete genome",46440,canonical_xanthomonas,Escherichia,yes
NC_024789.1,"Escherichia phage bV_EcoS_AKS96, complete genome",45746,canonical_xanthomonas,Escherichia,yes
NC_024793.1,"Escherichia phage bV_EcoS_AHP42, complete genome",46847,canonical_xanthomonas,Escherichia,yes
NC_027989.1,"Campylobacter phage vB_CcoM-IBB_35 clone Contig1, complete genome",53237,canonical_xanthomonas,Campylobacter,yes
NC_029075.1,"Achromobacter phage JWF, complete genome",81541,canonical_xanthomonas,Achromobacter,yes
NC_030928.1,"Xanthomonas phage f20-Xaj, complete genome",43851,canonical_xanthomonas,Xanthomonas,yes
NC_030937.1,"Xanthomonas phage f30-Xaj, complete genome",44262,canonical_xanthomonas,Xanthomonas,yes
NC_031280.1,"Acinetobacter phage vB_AbaM_phiAbaA1, complete genome",104906,canonical_xanthomonas,Acinetobacter,yes
NC_042344.1,"Phage Sano, complete genome",56147,canonical_xanthomonas,Unknown,yes
NC_042345.1,"Phage Salvo, complete genome",55601,canonical_xanthomonas,Unknown,yes
NC_047762.1,"Xanthomonas phage XAJ24, complete genome",44862,canonical_xanthomonas,Xanthomonas,yes
NC_047840.1,"Xanthomonas phage phi Xc10, complete genome",44597,canonical_xanthomonas,Xanthomonas,yes
NC_047962.1,"Xanthomonas phage Carpasina, complete genome",61939,canonical_xanthomonas,Xanthomonas,yes
NC_048137.1,"Pantoea phage vB_PagS_AAS23, complete genome",51170,canonical_xanthomonas,Pantoea,yes
NC_048147.1,"Xanthomonas phage XcP1, complete genome",61830,canonical_xanthomonas,Xanthomonas,yes
NC_048703.1,"Xanthomonas phage RiverRider, complete genome",76335,canonical_xanthomonas,Xanthomonas,yes
NC_048751.1,"Pantoea phage vB_PagM_LIET2, complete genome",74710,canonical_xanthomonas,Pantoea,yes
NC_048771.1,"Aeromonas phage 4_L372D, complete genome",,negative_pool,Aeromonas,no
NC_049463.1,"Stenotrophomonas phage Pokken, complete genome",,negative_pool,Stenotrophomonas,no
NC_052966.1,"Xanthomonas phage Xoo-sp2, complete genome",60497,canonical_xanthomonas,Xanthomonas,yes
NC_054458.1,"Xanthomonas phage XPP1, complete genome",46195,canonical_xanthomonas,Xanthomonas,yes
NC_054459.1,"Xanthomonas phage XPV1, complete genome",46503,canonical_xanthomonas,Xanthomonas,yes
NC_054460.1,"Xanthomonas phage KPhi1, complete genome",46077,canonical_xanthomonas,Xanthomonas,yes
NC_054461.1,"Xanthomonas virus phiXaf18, complete genome",47407,canonical_xanthomonas,Unknown,yes
NC_055835.1,"Xanthomonas phage FoX1, complete genome",44763,canonical_xanthomonas,Xanthomonas,yes
NC_055836.1,"Xanthomonas phage FoX2, complete genome",44086,canonical_xanthomonas,Xanthomonas,yes
NC_055837.1,"Xanthomonas phage FoX3, complete genome",44153,canonical_xanthomonas,Xanthomonas,yes
NC_055838.1,"Xanthomonas phage FoX5, complete genome",43872,canonical_xanthomonas,Xanthomonas,yes
NC_055839.1,"Xanthomonas phage FoX4, complete genome",60418,canonical_xanthomonas,Xanthomonas,yes
NC_069155.1,"Serratia phage Tsm2, complete genome",39799,canonical_xanthomonas,Serratia,yes
NC_069744.1,"Xanthomonas phage Samson, complete genome",43314,canonical_xanthomonas,Xanthomonas,yes
NC_069745.1,"Xanthomonas phage vB_Xar_IVIA-DoCa1, complete genome",43553,canonical_xanthomonas,Xanthomonas,yes
NC_070951.1,"Stenotrophomonas phage vB_SmaM_Ps15, complete genome",,negative_pool,Stenotrophomonas,no
NC_072499.1,"Xanthomonas phage vB_Xar_IVIA-DoCa3, complete genome",58107,canonical_xanthomonas,Xanthomonas,yes
NC_073026.1,"Xanthomonas phage vB_Xar_IVIA-DoCa5, complete genome",56408,canonical_xanthomonas,Xanthomonas,yes
NC_073029.1,"Xanthomonas phage Elanor, complete genome",62341,canonical_xanthomonas,Xanthomonas,yes
NC_073030.1,"Xanthomonas phage Mallos, complete genome",59242,canonical_xanthomonas,Xanthomonas,yes
NC_073032.1,"Xanthomonas phage FMYAK-P1, complete genome",64088,canonical_xanthomonas,Xanthomonas,yes
NC_073033.1,"Xanthomonas phage Xp12, complete genome",63783,canonical_xanthomonas,Xanthomonas,yes
NC_073034.1,"Stenotrophomonas phage vB_SmaS-AXL_1, complete genome",,negative_pool,Stenotrophomonas,no
NC_073035.1,"Xanthomonas phage vB_Xar_IVIA-DoCa6, complete genome",62951,canonical_xanthomonas,Xanthomonas,yes
NC_073036.1,"Xanthomonas phage vB_Xar_IVIA-DoCa10, complete genome",64024,canonical_xanthomonas,Xanthomonas,yes
NC_073093.1,"Xanthomonas phage Langgrundblatt1, complete genome",44239,canonical_xanthomonas,Xanthomonas,yes
NC_073094.1,"Xanthomonas phage Langgrundblatt2, complete genome",44768,canonical_xanthomonas,Xanthomonas,yes
NC_073095.1,"Xanthomonas phage Pfeifenkraut, complete genome",43791,canonical_xanthomonas,Xanthomonas,yes
NC_073205.1,"Salmonella phage LP31, complete genome",42600,canonical_xanthomonas,Salmonella,yes
NC_101820.1,"Escherichia phage ityhuna, complete genome",,negative_pool,Escherichia,no
NC_101840.1,"Escherichia phage orkinos, complete genome",,negative_pool,Escherichia,no
NC_102108.1,"Salmonella phage misterkot, complete genome",,negative_pool,Salmonella,no
NC_102127.1,"Bacillus phage vB_BcM_Sam46, complete genome",,negative_pool,Bacillus,no
NC_102382.1,"Bacillus phage Novomoskovsk, complete genome",,negative_pool,Bacillus,no
NC_102606.1,"Bacillus phage Bolokhovo, complete genome",,negative_pool,Bacillus,no
NC_104261.1,"Ruminococcus phage phiRM10, complete genome",,negative_pool,Ruminococcus,no
NC_104262.1,"Ruminococcus phage phiRg507T2_2, complete genome",,negative_pool,Ruminococcus,no
NC_104263.1,"Ruminococcus phage phiRg507T2_3, complete genome",,negative_pool,Ruminococcus,no
NC_104265.1,"Ruminococcus phage phiRgIBDN1, complete genome",,negative_pool,Ruminococcus,no
NC_104266.1,"Atrivirus PS6, complete genome",,negative_pool,Unknown,no
NC_104812.1,"Klebsiella phage B1, complete genome",,negative_pool,Klebsiella,no
NC_105105.1,"Escherichia phage BrunoManser, complete genome",,negative_pool,Escherichia,no
NC_105106.1,"Escherichia phage LeonhardEuler, complete genome",,negative_pool,Escherichia,no
NC_105433.1,"Escherichia phage vB_EcoD_Poky, complete genome",,negative_pool,Escherichia,no
NC_105436.1,"Escherichia phage JLBYU26, complete genome",,negative_pool,Escherichia,no
NC_105617.1,"Escherichia phage vB_EcoS_SA12KD, complete genome",,negative_pool,Escherichia,no
NC_105618.1,"Escherichia phage vB_EcoS_SA30RD, complete genome",,negative_pool,Escherichia,no
NC_105619.1,"Escherichia phage vB_EcoS_SA32RD, complete genome",,negative_pool,Escherichia,no
NC_105788.1,"Escherichia phage CLB_P3, complete genome",,negative_pool,Escherichia,no
NC_107481.1,"Bacillus phage B13, complete genome",,negative_pool,Bacillus,no
NC_107631.1,"Escherichia phage Lg3, complete genome",,negative_pool,Escherichia,no
NC_108342.1,"Bacillus phage Chedec 11, complete genome",,negative_pool,Bacillus,no
NC_108593.1,"Bacillus phage vB_BaeroP_SYYB1, complete genome",,negative_pool,Bacillus,no
NC_109358.1,"Escherichia phage LHE71, complete genome",,negative_pool,Escherichia,no
NC_111368.1,"Bacillus phage vB_BceP_LY3, complete genome",,negative_pool,Bacillus,no
NC_111369.1,"Bacillus phage vB_BceS_LY1, complete genome",,negative_pool,Bacillus,no
NC_111375.1,"Bacillus phage BC-5, complete genome",,negative_pool,Bacillus,no
NC_111484.1,"Salmonella phage vB_SenS_UTK0006, complete genome",,negative_pool,Salmonella,no
NC_112025.1,"Salmonella phage GSP032, complete genome",,negative_pool,Salmonella,no
NC_112270.1,"Bacillus phage vB_BceS_LY5, complete genome",,negative_pool,Bacillus,no
NC_128954.1,"Xanthomonas phage XAJ2, complete genome",49241,canonical_xanthomonas,Xanthomonas,yes
NC_129615.1,"Enterococcus phage PEf771, complete genome",,negative_pool,Enterococcus,no
NC_129764.1,"Escherichia phage vB_EcoS_Chapo, complete genome",,negative_pool,Escherichia,no
NC_129888.1,"Klebsiella phage vB_KpnS_ZX2, complete genome",,negative_pool,Klebsiella,no
NC_130781.1,"Salmonella phage vB_SenS_UTK0007, complete genome",,negative_pool,Salmonella,no
NZ_CP007800.1,BACTERIAL GENOME in phage pool: Bacillus subtilis JH642 — bacterial genome,,CONTAMINATION,Unknown,no
NZ_CP008698.1,BACTERIAL GENOME in phage pool: Bacillus subtilis AG1839 — bacterial genome,,CONTAMINATION,Unknown,no
OK258138.1,"Xanthomonas phage MUD8-T1, complete genome",44322,canonical_xanthomonas,Xanthomonas,yes
OK258140.1,"Xanthomonas phage DMF5-T1, complete genome",45054,canonical_xanthomonas,Xanthomonas,yes
OK275492.1,"Xanthomonas phage FMYAK-P1, complete genome",64088,canonical_xanthomonas,Xanthomonas,yes
OK275493.1,"Xanthomonas phage MET13-T1, complete genome",63593,canonical_xanthomonas,Xanthomonas,yes
OK275494.1,"Xanthomonas phage MYK3, complete genome",47500,canonical_xanthomonas,Xanthomonas,yes
OK275495.1,"Xanthomonas phage R3-22-T1, complete genome",45281,canonical_xanthomonas,Xanthomonas,yes
OK513034.1,"Bacillus phage BCC348, complete genome",,negative_pool,Bacillus,no
OK624832.1,"Xanthomonas phage DES1, complete genome",64732,canonical_xanthomonas,Xanthomonas,yes
OK625815.1,"Bacillus phage JBA6, complete genome",,negative_pool,Bacillus,no
OK913679.1,"Xanthomonas phage JUN5, complete genome",42912,canonical_xanthomonas,Xanthomonas,yes
OK913680.1,"Xanthomonas phage MET23-P3, complete genome",43010,canonical_xanthomonas,Xanthomonas,yes
OL333533.1,"Bacillus phage B13S, complete genome",,negative_pool,Bacillus,no
OL436139.1,"Salmonella phage LP31, complete genome",42600,canonical_xanthomonas,Salmonella,yes
OM373206.1,"Bacillus phage MAC24, complete genome",,negative_pool,Bacillus,no
OM867526.1,"Escherichia phage GN06, complete genome",,negative_pool,Escherichia,no
OM867527.1,"Escherichia phage GN07, complete genome",,negative_pool,Escherichia,no
OM967031.1,"Salmonella phage vB_SPuM_SP02, complete genome",,negative_pool,Salmonella,no
ON189042.1,"Xanthomonas phage Langgrundblatt1, complete genome",44239,canonical_xanthomonas,Xanthomonas,yes
ON189043.1,"Xanthomonas phage Langgrundblatt2, complete genome",44768,canonical_xanthomonas,Xanthomonas,yes
ON189044.1,"Xanthomonas phage Pfeifenkraut, complete genome",43791,canonical_xanthomonas,Xanthomonas,yes
ON189045.1,"Xanthomonas phage Elanor, complete genome",62341,canonical_xanthomonas,Xanthomonas,yes
ON189046.1,"Xanthomonas phage Laurelin, complete genome",40498,canonical_xanthomonas,Xanthomonas,yes
ON189047.1,"Xanthomonas phage Mallos, complete genome",59242,canonical_xanthomonas,Xanthomonas,yes
ON189048.1,"Xanthomonas phage Seregon, complete genome",55527,canonical_xanthomonas,Xanthomonas,yes
ON711490.1,"Xanthomonas phage HXX_Dennis, complete genome",44623,canonical_xanthomonas,Xanthomonas,yes
ON758385.1,"Xanthomonas phage BUDD, complete genome",199233,canonical_xanthomonas,Xanthomonas,yes
ON911538.2,"Xanthomonas phage vB_Xar_IVIA-DoCa1, complete genome",43553,canonical_xanthomonas,Xanthomonas,yes
ON911539.2,"Xanthomonas phage vB_Xar_IVIA-DoCa2, complete genome",42857,canonical_xanthomonas,Xanthomonas,yes
ON911540.2,"Xanthomonas phage vB_Xar_IVIA-DoCa3, complete genome",58107,canonical_xanthomonas,Xanthomonas,yes
ON932078.1,"Xanthomonas phage vB_Xar_IVIA-DoCa4, complete genome",43007,canonical_xanthomonas,Xanthomonas,yes
ON932079.1,"Xanthomonas phage vB_Xar_IVIA-DoCa5, complete genome",56408,canonical_xanthomonas,Xanthomonas,yes
