phage_id,host_id,f02_phage_pI_median,f02_host_pI_median,f02_phage_acidity_pct,f02_host_acidity_pct,f02_x_pI,f02_x_acidity,y
AP008979.1,Xanthomonas_oryzae_KACC10331,6.490069,6.8076,10.902788,10.532599,0.317531,0.370189,1
AP008979.1,Escherichia_coli_K12_MG1655,6.490069,6.199508,10.902788,10.90988,0.290561,0.007092,0
AP008979.1,Bacillus_subtilis_168,6.490069,6.097824,10.902788,12.439846,0.392245,1.537058,0
AP008979.1,Pseudomonas_aeruginosa_PAO1,6.490069,6.207636,10.902788,11.411945,0.282433,0.509157,0
AP008979.1,Staphylococcus_aureus_NCTC8325,6.490069,6.089241,10.902788,12.363042,0.400828,1.460254,0
AP008979.1,Mycobacterium_smegmatis_MC2155,6.490069,5.486122,10.902788,11.70464,1.003947,0.801852,0
AP008979.1,Salmonella_enterica_LT2,6.490069,6.349137,10.902788,10.81046,0.140932,0.092328,0
AP008979.1,Vibrio_cholerae_N16961,6.490069,5.980678,10.902788,11.320969,0.509391,0.418181,0
EU717894.1,Xanthomonas_citri_306,8.231984,6.539406,10.84218,10.571425,1.692578,0.270755,0
EU717894.1,Xanthomonas_campestris_33913,8.231984,6.412996,10.84218,10.578404,1.818988,0.263776,1
EU717894.1,Xanthomonas_oryzae_KACC10331,8.231984,6.8076,10.84218,10.532599,1.424384,0.309581,0
EU717894.1,Escherichia_coli_K12_MG1655,8.231984,6.199508,10.84218,10.90988,2.032476,0.0677,0
EU717894.1,Bacillus_subtilis_168,8.231984,6.097824,10.84218,12.439846,2.13416,1.597666,0
EU717894.1,Pseudomonas_aeruginosa_PAO1,8.231984,6.207636,10.84218,11.411945,2.024348,0.569765,0
EU717894.1,Staphylococcus_aureus_NCTC8325,8.231984,6.089241,10.84218,12.363042,2.142743,1.520862,0
EU717894.1,Mycobacterium_smegmatis_MC2155,8.231984,5.486122,10.84218,11.70464,2.745862,0.86246,0
EU717894.1,Salmonella_enterica_LT2,8.231984,6.349137,10.84218,10.81046,1.882847,0.03172,0
EU717894.1,Vibrio_cholerae_N16961,8.231984,5.980678,10.84218,11.320969,2.251306,0.478789,0
JN882298.1,Xanthomonas_citri_306,7.705606,6.539406,11.56216,10.571425,1.1662,0.990735,0
JN882298.1,Xanthomonas_campestris_33913,7.705606,6.412996,11.56216,10.578404,1.29261,0.983756,0
JN882298.1,Xanthomonas_oryzae_KACC10331,7.705606,6.8076,11.56216,10.532599,0.898006,1.029561,0
JN882298.1,Escherichia_coli_K12_MG1655,7.705606,6.199508,11.56216,10.90988,1.506098,0.65228,1
JN882298.1,Bacillus_subtilis_168,7.705606,6.097824,11.56216,12.439846,1.607782,0.877686,0
JN882298.1,Pseudomonas_aeruginosa_PAO1,7.705606,6.207636,11.56216,11.411945,1.49797,0.150215,0
JN882298.1,Staphylococcus_aureus_NCTC8325,7.705606,6.089241,11.56216,12.363042,1.616365,0.800882,0
JN882298.1,Mycobacterium_smegmatis_MC2155,7.705606,5.486122,11.56216,11.70464,2.219484,0.14248,0
JN882298.1,Salmonella_enterica_LT2,7.705606,6.349137,11.56216,10.81046,1.356469,0.7517,0
JN882298.1,Vibrio_cholerae_N16961,7.705606,5.980678,11.56216,11.320969,1.724928,0.241191,0
