accession,files_present,genome_fna_bytes,proteins_faa_bytes,cds_fna_bytes
KF626665.1,"cds.fna,genome.fna,proteins.faa",56990,21040,60067
KF626666.1,"cds.fna,genome.fna,proteins.faa",44543,15652,44879
KF626667.1,"cds.fna,genome.fna,proteins.faa",44617,12697,45959
KF626668.1,"cds.fna,genome.fna,proteins.faa",56437,21449,59753
KF771236.1,"cds.fna,genome.fna,proteins.faa",47448,23438,50502
KF771237.1,"cds.fna,genome.fna,proteins.faa",47578,27526,49857
KF771238.1,"cds.fna,genome.fna,proteins.faa",47165,22968,50796
KF771239.1,"cds.fna,genome.fna,proteins.faa",46461,20587,49280
KF787094.1,"cds.fna,genome.fna,proteins.faa",74769,26931,78101
KF787095.1,"cds.fna,genome.fna,proteins.faa",73420,25903,79461
KJ628499.1,"cds.fna,genome.fna,proteins.faa",106471,54023,112207
KP202971.1,"cds.fna,genome.fna,proteins.faa",82759,35190,87136
KU197013.1,"cds.fna,genome.fna,proteins.faa",45556,11173,46226
KU197014.1,"cds.fna,genome.fna,proteins.faa",49997,21512,53687
KU595432.1,"cds.fna,genome.fna,proteins.faa",44533,15998,45167
KU595433.1,"cds.fna,genome.fna,proteins.faa",44950,17256,44291
KX241618.1,"cds.fna,genome.fna,proteins.faa",61417,32250,63065
KX356061.1,"cds.fna,genome.fna,proteins.faa",138569,52219,134580
KX356062.1,"cds.fna,genome.fna,proteins.faa",18493,4186,18849
KX356063.1,"cds.fna,genome.fna,proteins.faa",142175,58750,142771
KX356064.1,"cds.fna,genome.fna,proteins.faa",142177,58316,143319
KX356065.1,"cds.fna,genome.fna,proteins.faa",142175,56741,143338
KX356066.1,"cds.fna,genome.fna,proteins.faa",142964,61458,146198
KX356067.1,"cds.fna,genome.fna,proteins.faa",143905,67684,145717
KY210139.1,"cds.fna,genome.fna,proteins.faa",46789,24922,47922
LC890683.1,"cds.fna,genome.fna,proteins.faa",43898,21282,44433
LC901396.1,"cds.fna,genome.fna,proteins.faa",67468,26514,69498
MF375456.1,"cds.fna,genome.fna,proteins.faa",45291,10425,47290
MF988720.1,"cds.fna,genome.fna,proteins.faa",144304,58490,144492
MG944227.1,"cds.fna,genome.fna,proteins.faa",46907,14896,48124
MG944228.1,"cds.fna,genome.fna,proteins.faa",47196,7985,49521
MG944229.1,"cds.fna,genome.fna,proteins.faa",50373,27191,52783
MG944230.1,"cds.fna,genome.fna,proteins.faa",48127,20625,49515
MG944231.1,"cds.fna,genome.fna,proteins.faa",46995,18507,49232
MG944232.1,"cds.fna,genome.fna,proteins.faa",46992,20739,49343
MG944233.1,"cds.fna,genome.fna,proteins.faa",49417,21689,52694
MG944234.1,"cds.fna,genome.fna,proteins.faa",47220,20504,48757
MG944235.1,"cds.fna,genome.fna,proteins.faa",46678,19794,49249
MG944236.1,"cds.fna,genome.fna,proteins.faa",47771,20112,50664
MG983743.2,"cds.fna,genome.fna,proteins.faa",77484,26653,78808
MH059633.1,"cds.fna,genome.fna,proteins.faa",62881,26065,65391
MH191395.1,"cds.fna,genome.fna,proteins.faa",62766,23785,63403
MH517022.1,"cds.fna,genome.fna,proteins.faa",145311,59711,148846
MK095605.1,"cds.fna,genome.fna,proteins.faa",46819,22506,53213
MK095606.1,"cds.fna,genome.fna,proteins.faa",51958,24073,58314
MK388689.1,"cds.fna,genome.fna,proteins.faa",75835,33750,84826
MK580972.1,"cds.fna,genome.fna,proteins.faa",162203,77579,166549
MK903278.1,"cds.fna,genome.fna,proteins.faa",45136,18867,48569
MN047793.1,"cds.fna,genome.fna,proteins.faa",313494,124734,300539
MN062187.1,"cds.fna,genome.fna,proteins.faa",43987,18546,47325
MN304816.1,"cds.fna,genome.fna,proteins.faa",48230,22877,50369
MN364664.1,"cds.fna,genome.fna,proteins.faa",159408,65737,162056
MN461279.1,"cds.fna,genome.fna,proteins.faa",48141,19938,49304
MT119766.1,"cds.fna,genome.fna,proteins.faa",40605,19386,43380
MT161381.1,"cds.fna,genome.fna,proteins.faa",45455,20390,49702
MT161382.1,"cds.fna,genome.fna,proteins.faa",44768,20151,49328
MT161383.1,"cds.fna,genome.fna,proteins.faa",44836,20152,49527
MT161384.1,"cds.fna,genome.fna,proteins.faa",44551,19610,48466
MT161385.1,"cds.fna,genome.fna,proteins.faa",61334,24673,66382
MT161386.1,"cds.fna,genome.fna,proteins.faa",62002,26876,67901
MT161387.1,"cds.fna,genome.fna,proteins.faa",61934,28080,67887
MT653137.1,"cds.fna,genome.fna,proteins.faa",43443,18722,42908
MT664984.1,"cds.fna,genome.fna,proteins.faa",64747,27451,66253
MT708549.1,"cds.fna,genome.fna,proteins.faa",69424,35674,74391
MT740307.1,"cds.fna,genome.fna,proteins.faa",100247,59401,103419
MT939492.1,"cds.fna,genome.fna,proteins.faa",235476,70315,236742
MT951568.1,"cds.fna,genome.fna,proteins.faa",43497,18313,46715
MT980839.1,"cds.fna,genome.fna,proteins.faa",38363,18760,39525
MW082583.1,"cds.fna,genome.fna,proteins.faa",40417,13160,42212
MW435566.1,"cds.fna,genome.fna,proteins.faa",46673,20169,49201
MW802488.1,"cds.fna,genome.fna,proteins.faa",44400,15558,44300
MW822535.1,"cds.fna,genome.fna,proteins.faa",44463,18510,47770
MW822536.1,"cds.fna,genome.fna,proteins.faa",44421,19642,45766
MW822537.1,"cds.fna,genome.fna,proteins.faa",44420,18010,47743
MW822538.1,"cds.fna,genome.fna,proteins.faa",44507,18425,47665
MW822539.1,"cds.fna,genome.fna,proteins.faa",44500,18624,48039
MW825358.1,"cds.fna,genome.fna,proteins.faa",310080,120496,314826
MZ089741.2,"cds.fna,genome.fna,proteins.faa",62199,21088,67667
MZ326867.1,"cds.fna,genome.fna,proteins.faa",46392,29920,51899
MZ345003.1,"cds.fna,genome.fna,proteins.faa",43555,18569,46804
MZ357961.1,"cds.fna,genome.fna,proteins.faa",109489,37667,110583
MZ611865.1,"cds.fna,genome.fna,proteins.faa",45209,17787,46499
MZ666965.1,"genome.fna,proteins.faa",39066,1,
MZ666966.1,"genome.fna,proteins.faa",41802,1,
NC_003309.1,"cds.fna,genome.fna,proteins.faa",54193,25421,54691
NC_004313.1,"cds.fna,genome.fna,proteins.faa",40776,13654,41115
NC_004456.1,"cds.fna,genome.fna,proteins.faa",43864,16278,40676
NC_004902.1,"cds.fna,genome.fna,proteins.faa",45060,15826,45798
NC_005178.1,"cds.fna,genome.fna,proteins.faa",38199,14662,40636
NC_005833.1,"cds.fna,genome.fna,proteins.faa",49585,20727,51751
NC_005857.1,"cds.fna,genome.fna,proteins.faa",52393,14989,53929
NC_006565.1,"cds.fna,genome.fna,proteins.faa",133456,53573,127648
NC_007024.1,"cds.fna,genome.fna,proteins.faa",56620,27834,58939
NC_007709.1,"cds.fna,genome.fna,proteins.faa",44474,14206,46302
NC_007710.1,"cds.fna,genome.fna,proteins.faa",47373,21041,47543
NC_009232.2,"cds.fna,genome.fna,proteins.faa",43234,19175,45363
NC_009543.1,"cds.fna,genome.fna,proteins.faa",45211,16273,45580
NC_009603.1,"cds.fna,genome.fna,proteins.faa",47084,24120,49392
NC_011811.1,"cds.fna,genome.fna,proteins.faa",85839,45625,86803
NC_012742.1,"cds.fna,genome.fna,proteins.faa",44764,17780,43626
NC_013420.1,"cds.fna,genome.fna,proteins.faa",91781,39652,88513
NC_013599.1,"cds.fna,genome.fna,proteins.faa",37249,25093,38267
NC_013693.1,"cds.fna,genome.fna,proteins.faa",160321,61600,165654
NC_013697.1,"cds.fna,genome.fna,proteins.faa",159788,69613,168817
NC_014663.1,"cds.fna,genome.fna,proteins.faa",172430,90027,182569
NC_014765.1,"cds.fna,genome.fna,proteins.faa",201420,51674,209668
NC_015464.1,"cds.fna,genome.fna,proteins.faa",137031,47137,138855
NC_016071.1,"cds.fna,genome.fna,proteins.faa",148105,75801,160336
NC_017981.1,"cds.fna,genome.fna,proteins.faa",50758,36339,53209
NC_019401.1,"cds.fna,genome.fna,proteins.faa",363849,159224,389405
NC_019520.1,"cds.fna,genome.fna,proteins.faa",43271,13709,36807
NC_019933.2,"cds.fna,genome.fna,proteins.faa",44553,17439,42216
NC_020201.1,"cds.fna,genome.fna,proteins.faa",144440,74852,149734
NC_020205.1,"cds.fna,genome.fna,proteins.faa",43639,8719,42113
NC_021532.1,"cds.fna,genome.fna,proteins.faa",105459,46767,94872
NC_021777.1,"cds.fna,genome.fna,proteins.faa",44122,21243,46868
NC_022982.1,"cds.fna,genome.fna,proteins.faa",44544,11920,44914
NC_022987.1,"cds.fna,genome.fna,proteins.faa",44618,15755,46035
NC_023556.1,"cds.fna,genome.fna,proteins.faa",73421,23356,79503
NC_023569.1,"cds.fna,genome.fna,proteins.faa",78999,34213,80876
NC_024784.1,"cds.fna,genome.fna,proteins.faa",47166,21791,50894
NC_024789.1,"cds.fna,genome.fna,proteins.faa",46462,26049,49379
NC_024793.1,"cds.fna,genome.fna,proteins.faa",47579,23152,49952
NC_027989.1,"cds.fna,genome.fna,proteins.faa",54077,20954,55581
NC_029075.1,"cds.fna,genome.fna,proteins.faa",82760,30201,87281
NC_030928.1,"cds.fna,genome.fna,proteins.faa",44534,15316,45211
NC_030937.1,"cds.fna,genome.fna,proteins.faa",44951,18103,44355
NC_031280.1,"cds.fna,genome.fna,proteins.faa",106472,60406,112274
NC_042344.1,"cds.fna,genome.fna,proteins.faa",56991,22120,60152
NC_042345.1,"cds.fna,genome.fna,proteins.faa",56438,22378,59843
NC_047762.1,"cds.fna,genome.fna,proteins.faa",45557,11992,46288
NC_047840.1,"cds.fna,genome.fna,proteins.faa",45292,22440,47351
NC_047962.1,"cds.fna,genome.fna,proteins.faa",62882,20943,65420
NC_048137.1,"cds.fna,genome.fna,proteins.faa",51959,30226,58328
NC_048147.1,"cds.fna,genome.fna,proteins.faa",62767,22710,63436
NC_048703.1,"cds.fna,genome.fna,proteins.faa",77485,26428,78910
NC_048751.1,"cds.fna,genome.fna,proteins.faa",75836,37933,84935
NC_048771.1,"cds.fna,genome.fna,proteins.faa",140726,69995,138639
NC_049463.1,"cds.fna,genome.fna,proteins.faa",77389,35665,80664
NC_052966.1,"cds.fna,genome.fna,proteins.faa",61418,21923,63153
NC_054458.1,"cds.fna,genome.fna,proteins.faa",46908,19145,48108
NC_054459.1,"cds.fna,genome.fna,proteins.faa",47221,20075,48746
NC_054460.1,"cds.fna,genome.fna,proteins.faa",46790,16006,47889
NC_054461.1,"cds.fna,genome.fna,proteins.faa",48142,18953,49325
NC_055835.1,"cds.fna,genome.fna,proteins.faa",45456,22186,49676
NC_055836.1,"cds.fna,genome.fna,proteins.faa",44769,24049,49303
NC_055837.1,"cds.fna,genome.fna,proteins.faa",44837,4818,49493
NC_055838.1,"cds.fna,genome.fna,proteins.faa",44552,1,48449
NC_055839.1,"cds.fna,genome.fna,proteins.faa",61335,29961,66362
NC_069155.1,"cds.fna,genome.fna,proteins.faa",40418,15183,42272
NC_069744.1,"cds.fna,genome.fna,proteins.faa",43988,17712,47331
NC_069745.1,"cds.fna,genome.fna,proteins.faa",44242,16813,47215
NC_070951.1,"cds.fna,genome.fna,proteins.faa",163721,80934,182888
NC_072499.1,"cds.fna,genome.fna,proteins.faa",59004,23156,63368
NC_073026.1,genome.fna,57415,,
NC_073029.1,genome.fna,63436,,
NC_073030.1,genome.fna,60285,,
NC_073032.1,genome.fna,65214,,
NC_073033.1,genome.fna,64900,,
NC_073034.1,genome.fna,65096,,
NC_073035.1,genome.fna,64067,,
NC_073036.1,genome.fna,65159,,
NC_073093.1,"cds.fna,genome.fna,proteins.faa",44935,21828,48890
NC_073094.1,"cds.fna,genome.fna,proteins.faa",45472,21108,49507
NC_073095.1,"cds.fna,genome.fna,proteins.faa",44478,23459,48415
NC_073205.1,"cds.fna,genome.fna,proteins.faa",43261,16415,44110
NC_101820.1,"cds.fna,genome.fna,proteins.faa",51550,23512,54364
NC_101840.1,"cds.fna,genome.fna,proteins.faa",50566,22382,52573
NC_102108.1,"cds.fna,genome.fna,proteins.faa",112579,43212,109883
NC_102127.1,"cds.fna,genome.fna,proteins.faa",46126,20681,50355
NC_102382.1,"cds.fna,genome.fna,proteins.faa",50020,25082,52843
NC_102606.1,"cds.fna,genome.fna,proteins.faa",50448,22426,52859
NC_104261.1,"cds.fna,genome.fna,proteins.faa",37505,16023,39184
NC_104262.1,"cds.fna,genome.fna,proteins.faa",37899,10473,39156
NC_104263.1,"cds.fna,genome.fna,proteins.faa",37094,19175,38411
NC_104265.1,"cds.fna,genome.fna,proteins.faa",37825,15264,40238
NC_104266.1,"cds.fna,genome.fna,proteins.faa",38364,18845,39584
NC_104812.1,"cds.fna,genome.fna,proteins.faa",50805,21298,48958
NC_105105.1,"cds.fna,genome.fna,proteins.faa",50063,16931,54305
NC_105106.1,"cds.fna,genome.fna,proteins.faa",50972,22076,55491
NC_105433.1,"cds.fna,genome.fna,proteins.faa",52169,33249,56489
NC_105436.1,"cds.fna,genome.fna,proteins.faa",52042,10472,56244
NC_105617.1,"cds.fna,genome.fna,proteins.faa",51497,27819,54162
NC_105618.1,"cds.fna,genome.fna,proteins.faa",51249,21938,52604
NC_105619.1,"cds.fna,genome.fna,proteins.faa",49743,22460,51382
NC_105788.1,"cds.fna,genome.fna,proteins.faa",50454,25074,53990
NC_107481.1,"cds.fna,genome.fna,proteins.faa",37440,17311,38454
NC_107631.1,"cds.fna,genome.fna,proteins.faa",50846,15725,51196
NC_108342.1,"cds.fna,genome.fna,proteins.faa",18108,6787,17888
NC_108593.1,"cds.fna,genome.fna,proteins.faa",21035,9461,21795
NC_109358.1,"cds.fna,genome.fna,proteins.faa",50929,16593,52955
NC_111368.1,"cds.fna,genome.fna,proteins.faa",28467,12873,27246
NC_111369.1,"cds.fna,genome.fna,proteins.faa",43814,21890,45002
NC_111375.1,"cds.fna,genome.fna,proteins.faa",25853,9494,25361
NC_111484.1,"cds.fna,genome.fna,proteins.faa",50532,19042,53652
NC_112025.1,"cds.fna,genome.fna,proteins.faa",52899,29389,53551
NC_112270.1,"cds.fna,genome.fna,proteins.faa",42882,13293,43855
NC_128954.1,"cds.fna,genome.fna,proteins.faa",49998,23861,53766
NC_129615.1,"cds.fna,genome.fna,proteins.faa",153266,57963,152105
NC_129764.1,"cds.fna,genome.fna,proteins.faa",51891,27356,54120
NC_129888.1,"cds.fna,genome.fna,proteins.faa",52429,21844,55210
NC_130781.1,"cds.fna,genome.fna,proteins.faa",52726,18028,56530
OK258138.1,"cds.fna,genome.fna,proteins.faa",45011,16279,44751
OK258140.1,"cds.fna,genome.fna,proteins.faa",45753,17429,44889
OK275492.1,"cds.fna,genome.fna,proteins.faa",65060,23825,67511
OK275493.1,"cds.fna,genome.fna,proteins.faa",64558,24124,66798
OK275494.1,"cds.fna,genome.fna,proteins.faa",48231,20732,48978
OK275495.1,"cds.fna,genome.fna,proteins.faa",45984,17259,46066
OK513034.1,"cds.fna,genome.fna,proteins.faa",96026,36129,99982
OK624832.1,"cds.fna,genome.fna,proteins.faa",65709,31501,69429
OK625815.1,"cds.fna,genome.fna,proteins.faa",19139,9608,19415
OK913679.1,"cds.fna,genome.fna,proteins.faa",43578,18042,45963
OK913680.1,"cds.fna,genome.fna,proteins.faa",43681,18568,46348
OL333533.1,"cds.fna,genome.fna,proteins.faa",158042,70018,155243
OL436139.1,"cds.fna,genome.fna,proteins.faa",43260,13412,44053
OM373206.1,"cds.fna,genome.fna,proteins.faa",111745,48779,111214
OM867526.1,"cds.fna,genome.fna,proteins.faa",108821,40805,102919
OM867527.1,"cds.fna,genome.fna,proteins.faa",71174,25013,72767
OM967031.1,"cds.fna,genome.fna,proteins.faa",46149,21771,46193
ON189042.1,"cds.fna,genome.fna,proteins.faa",44934,14633,48824
ON189043.1,"cds.fna,genome.fna,proteins.faa",45471,18238,49440
ON189044.1,"cds.fna,genome.fna,proteins.faa",44477,22505,48345
ON189045.1,"cds.fna,genome.fna,proteins.faa",63286,24716,64810
ON189046.1,"cds.fna,genome.fna,proteins.faa",41133,18288,42365
ON189047.1,"cds.fna,genome.fna,proteins.faa",60143,26344,63827
ON189048.1,"cds.fna,genome.fna,proteins.faa",56376,25432,59952
ON711490.1,"cds.fna,genome.fna,proteins.faa",45319,22790,51255
ON758385.1,"cds.fna,genome.fna,proteins.faa",202132,105574,208151
ON911538.2,"cds.fna,genome.fna,proteins.faa",44241,21013,47246
ON911539.2,"cds.fna,genome.fna,proteins.faa",43535,16185,46065
ON911540.2,"cds.fna,genome.fna,proteins.faa",59003,24867,63293
ON932078.1,"cds.fna,genome.fna,proteins.faa",43687,18603,45898
ON932079.1,"cds.fna,genome.fna,proteins.faa",57279,15998,59983
ON932080.1,"cds.fna,genome.fna,proteins.faa",63916,27797,67548
ON932081.1,"cds.fna,genome.fna,proteins.faa",43559,19032,45969
ON932082.1,"cds.fna,genome.fna,proteins.faa",44387,19561,47568
ON932083.1,"cds.fna,genome.fna,proteins.faa",43923,12052,46349
ON932084.1,"cds.fna,genome.fna,proteins.faa",65005,25438,69288
ON932085.1,"cds.fna,genome.fna,proteins.faa",43706,21985,46513
ON960072.2,"cds.fna,genome.fna,proteins.faa",44394,11408,45633
ON996340.1,"cds.fna,genome.fna,proteins.faa",47001,23782,49737
OP067662.1,"cds.fna,genome.fna,proteins.faa",46766,12301,48442
OP292654.1,"cds.fna,genome.fna,proteins.faa",373209,164769,385904
OP413789.1,"cds.fna,genome.fna,proteins.faa",45403,16414,45310
OP548052.1,"cds.fna,genome.fna,proteins.faa",45113,19730,47162
OP583591.1,"cds.fna,genome.fna,proteins.faa",45304,17587,45045
OP583592.1,"cds.fna,genome.fna,proteins.faa",45921,15404,44485
OP583593.1,"cds.fna,genome.fna,proteins.faa",43181,20375,40449
OP583594.1,"cds.fna,genome.fna,proteins.faa",45013,12977,43667
OP583595.1,"cds.fna,genome.fna,proteins.faa",45921,15229,44523
OP752703.1,"cds.fna,genome.fna,proteins.faa",324260,167262,340693
OP948730.1,"cds.fna,genome.fna,proteins.faa",45185,19307,45801
OQ055246.1,"cds.fna,genome.fna,proteins.faa",100284,41321,99702
OQ427096.1,"cds.fna,genome.fna,proteins.faa",202966,80999,208048
OQ435241.1,"genome.fna,proteins.faa",45089,1,
OQ436456.1,"cds.fna,genome.fna,proteins.faa",108144,47588,105614
OQ446483.1,"genome.fna,proteins.faa",45088,1,
OQ446484.1,"genome.fna,proteins.faa",44686,1,
OQ446485.1,"genome.fna,proteins.faa",43001,1,
OQ446486.1,"genome.fna,proteins.faa",45088,1,
OQ446487.1,"genome.fna,proteins.faa",45089,1,
OQ446488.1,"genome.fna,proteins.faa",44841,1,
OQ603349.1,"genome.fna,proteins.faa",41891,1,
OQ603350.1,"genome.fna,proteins.faa",41215,1,
OQ603351.1,"genome.fna,proteins.faa",99596,1,
OQ603352.1,"genome.fna,proteins.faa",41311,1,
OQ603353.1,"genome.fna,proteins.faa",230734,1,
OQ603354.1,"genome.fna,proteins.faa",45125,1,
OQ603355.1,"genome.fna,proteins.faa",43623,1,
OQ603356.1,"genome.fna,proteins.faa",65100,1,
OQ622092.1,"cds.fna,genome.fna,proteins.faa",43937,14942,36997
OQ676962.1,"cds.fna,genome.fna,proteins.faa",45940,21919,46322
OQ756160.1,"cds.fna,genome.fna,proteins.faa",61956,24827,63727
OQ790161.1,"cds.fna,genome.fna,proteins.faa",316712,114804,320729
OQ818705.1,"cds.fna,genome.fna,proteins.faa",75380,32382,79448
OQ863049.1,"cds.fna,genome.fna,proteins.faa",47131,20501,50501
OR122686.1,"cds.fna,genome.fna,proteins.faa",41989,12550,42636
OR209256.1,"cds.fna,genome.fna,proteins.faa",43844,17962,44843
OR258281.1,"cds.fna,genome.fna,proteins.faa",354005,156128,368574
OR500351.1,"cds.fna,genome.fna,proteins.faa",44727,26048,49260
OR529408.1,"cds.fna,genome.fna,proteins.faa",110737,51143,115144
OR529409.1,"cds.fna,genome.fna,proteins.faa",255855,84052,261463
OR540302.1,"cds.fna,genome.fna,proteins.faa",67221,29758,71521
OR729839.1,"cds.fna,genome.fna,proteins.faa",43632,13793,44732
OR797040.1,"cds.fna,genome.fna,proteins.faa",161886,78905,174980
OR797041.1,"cds.fna,genome.fna,proteins.faa",42532,15449,45416
OR797042.1,"cds.fna,genome.fna,proteins.faa",67050,32100,69596
OR797043.1,"cds.fna,genome.fna,proteins.faa",43866,12770,46100
OR797044.1,"cds.fna,genome.fna,proteins.faa",65706,26573,71413
OR797045.1,"cds.fna,genome.fna,proteins.faa",57437,19490,60910
OR797046.1,"cds.fna,genome.fna,proteins.faa",41117,19242,45220
OR820514.1,"cds.fna,genome.fna,proteins.faa",56423,19811,60435
OR838459.1,"cds.fna,genome.fna,proteins.faa",67332,36017,73090
OR842880.1,"cds.fna,genome.fna,proteins.faa",45838,21000,48721
OR966858.1,"cds.fna,genome.fna,proteins.faa",43999,20508,46059
OR997969.1,"cds.fna,genome.fna,proteins.faa",46766,19672,50632
OR997970.1,"cds.fna,genome.fna,proteins.faa",41489,18257,43999
OZ418229.1,"cds.fna,genome.fna,proteins.faa",51191,13348,49417
OZ418230.1,"cds.fna,genome.fna,proteins.faa",43190,16848,44298
OZ418233.1,"cds.fna,genome.fna,proteins.faa",41022,16911,42455
OZ418234.1,"cds.fna,genome.fna,proteins.faa",42163,13532,43385
OZ453044.1,"cds.fna,genome.fna,proteins.faa",38150,17307,41848
PP079413.1,"cds.fna,genome.fna,proteins.faa",44663,18426,45121
PP079414.1,"cds.fna,genome.fna,proteins.faa",43760,15016,43178
PP079415.1,"cds.fna,genome.fna,proteins.faa",45008,19119,46322
PP079416.1,"cds.fna,genome.fna,proteins.faa",43775,18084,44739
PP079417.1,"cds.fna,genome.fna,proteins.faa",44428,14944,46138
PP079418.1,"cds.fna,genome.fna,proteins.faa",47147,23789,49463
PP179318.1,"cds.fna,genome.fna,proteins.faa",114098,44438,117610
PP179325.1,"cds.fna,genome.fna,proteins.faa",92941,39369,94645
PP179326.1,"cds.fna,genome.fna,proteins.faa",46714,10643,50407
PP179327.1,"cds.fna,genome.fna,proteins.faa",45693,18947,48036
PP179328.1,"cds.fna,genome.fna,proteins.faa",46067,19989,49454
PP179329.1,"cds.fna,genome.fna,proteins.faa",46039,5531,49642
PP313117.1,"cds.fna,genome.fna,proteins.faa",49738,20120,49121
PP391659.1,"cds.fna,genome.fna,proteins.faa",45645,16531,42250
PP391660.1,"cds.fna,genome.fna,proteins.faa",45657,16309,41731
PP391661.1,"cds.fna,genome.fna,proteins.faa",46238,18984,47881
PP391662.1,"cds.fna,genome.fna,proteins.faa",46383,13923,35867
PP391663.1,"cds.fna,genome.fna,proteins.faa",46235,19048,48073
PP391664.1,"cds.fna,genome.fna,proteins.faa",46278,15482,39528
PP431385.1,"cds.fna,genome.fna,proteins.faa",16648,4747,16186
PP475461.1,"cds.fna,genome.fna,proteins.faa",115214,48602,120103
PP550502.1,"cds.fna,genome.fna,proteins.faa",62607,37119,63439
PP554396.1,"cds.fna,genome.fna,proteins.faa",44184,9921,45156
PP566124.1,"cds.fna,genome.fna,proteins.faa",40874,16590,41718
PP747256.1,"cds.fna,genome.fna,proteins.faa",62332,26058,63680
PP756300.1,"cds.fna,genome.fna,proteins.faa",64759,26350,66642
PP780467.1,"cds.fna,genome.fna,proteins.faa",44180,18066,45867
PP816325.1,"cds.fna,genome.fna,proteins.faa",64654,31220,64997
PP895208.1,"cds.fna,genome.fna,proteins.faa",15202,10255,18021
PP895209.1,"cds.fna,genome.fna,proteins.faa",15174,9240,18042
PP895210.1,"cds.fna,genome.fna,proteins.faa",15087,9708,18059
PP895211.1,"cds.fna,genome.fna,proteins.faa",15188,11227,18020
PP921743.1,"cds.fna,genome.fna,proteins.faa",45614,13854,47493
PP921744.1,"cds.fna,genome.fna,proteins.faa",44187,12001,48252
PP932004.1,"cds.fna,genome.fna,proteins.faa",43765,17964,45848
PP952055.1,"cds.fna,genome.fna,proteins.faa",45336,17184,47544
PQ067315.1,"cds.fna,genome.fna,proteins.faa",11165,4897,12138
PQ072796.2,"genome.fna,proteins.faa",48900,1,
PQ074228.1,"cds.fna,genome.fna,proteins.faa",50605,33294,56356
PQ093899.1,"cds.fna,genome.fna,proteins.faa",41747,15743,41620
PQ111865.1,"cds.fna,genome.fna,proteins.faa",58643,23004,58601
PQ305824.1,"cds.fna,genome.fna,proteins.faa",45969,17494,50119
PQ338056.1,"cds.fna,genome.fna,proteins.faa",45193,28134,47341
PQ358089.1,"cds.fna,genome.fna,proteins.faa",26229,12396,28814
PQ434692.1,"cds.fna,genome.fna,proteins.faa",110052,43268,115468
PQ434693.1,"cds.fna,genome.fna,proteins.faa",43427,19345,42241
PQ476032.1,"cds.fna,genome.fna,proteins.faa",45095,18176,46092
PQ492157.1,"cds.fna,genome.fna,proteins.faa",50600,34489,54512
PQ492158.1,"cds.fna,genome.fna,proteins.faa",43285,18611,44665
PQ492159.1,"cds.fna,genome.fna,proteins.faa",43285,19344,43742
PQ492160.1,"cds.fna,genome.fna,proteins.faa",43670,14235,44806
PQ492161.1,"cds.fna,genome.fna,proteins.faa",43662,17396,44868
PQ492162.1,"cds.fna,genome.fna,proteins.faa",43750,15912,43813
PQ498454.1,"cds.fna,genome.fna,proteins.faa",43742,13979,44842
PQ498455.1,"cds.fna,genome.fna,proteins.faa",43748,13799,45190
