phage_acc,host_acc,host_organism,label,source,confidence,notes
PP391659.1,,Xanthomonas arboricola pv. pruni strain Xcp1,1,literature_curated,0.800000,NCBI: PP391659.1
PP391660.1,,Xanthomonas arboricola pv. pruni strain Xcp1,1,literature_curated,0.800000,NCBI: PP391660.1
PP391661.1,,Xanthomonas arboricola pv. pruni strain Xcp1,1,literature_curated,0.800000,NCBI: PP391661.1
PP391662.1,,Xanthomonas arboricola pv. pruni strain Xcp1,1,literature_curated,0.800000,NCBI: PP391662.1
PP391663.1,,Xanthomonas arboricola pv. pruni strain Xcp1,1,literature_curated,0.800000,NCBI: PP391663.1
PP391664.1,,Xanthomonas arboricola pv. pruni strain Xcp1,1,literature_curated,0.800000,NCBI: PP391664.1
PP475461.1,,Xanthomonas campestris pv. campestris CECT 97,1,literature_curated,0.800000,NCBI: PP475461.1
PQ571275.1,,Bacteroides salyersiae BG8,1,literature_curated,0.800000,NCBI: PQ571275.1
PQ571276.1,,Bacteroides salyersiae BG8,1,literature_curated,0.800000,NCBI: PQ571276.1
PQ571296.1,,Klebsiella aerogenes MAO-MM-7,1,literature_curated,0.800000,NCBI: PQ571296.1
PV408261.1,,Xanthomonas hortorum pv. vitians CFBP8638 (=LM16734),1,literature_curated,0.800000,NCBI: PV408261.1
PV506377.1,,Xanthomonas oryzae PX079 (Phillipine race 3),1,literature_curated,0.800000,NCBI: PV506377.1
PX682306.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682306.1
PX682307.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682307.1
PX682308.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682308.1
PX630732.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630732.1
PX630734.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630734.1
PX630735.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630735.1
PX630736.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630736.1
PX630737.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630737.1
PX630738.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630738.1
PX630739.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630739.1
PX630740.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630740.1
PX630741.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630741.1
PQ569993.1,NZ_CP155948,Xanthomonas campestris pv. campestris str. 8004,1,literature_curated,0.800000,NCBI: PQ569993.1
PX997083.1,,Xanthomonas citri pv. citr strain XHCZG,1,literature_curated,0.800000,NCBI: PX997083.1
PZ019799.1,,Xanthomonas euvesicatoria pv. euvesicatoria,1,literature_curated,0.800000,NCBI: PZ019799.1
PZ019800.1,,Xanthomonas euvesicatoria pv. euvesicatoria,1,literature_curated,0.800000,NCBI: PZ019800.1
PZ019801.1,,Xanthomonas euvesicatoria pv. euvesicatoria,1,literature_curated,0.800000,NCBI: PZ019801.1
PZ019802.1,,Xanthomonas euvesicatoria pv. euvesicatoria,1,literature_curated,0.800000,NCBI: PZ019802.1
PZ019803.1,,Xanthomonas euvesicatoria pv. euvesicatoria,1,literature_curated,0.800000,NCBI: PZ019803.1
NC_004902.1,NZ_CP150073,Xanthomonas oryzae,1,literature_curated,0.800000,NCBI: NC_004902.1
PX408737.1,NZ_CP167225,Xanthomonas euvesicatoria,1,literature_curated,0.800000,NCBI: PX408737.1
PX630733.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630733.1
PX630731.1,NZ_CP167241,Xanthomonas arboricola pv. pruni,1,literature_curated,0.800000,NCBI: PX630731.1
PX682309.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682309.1
PX682330.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682330.1
PX682310.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682310.1
PX682311.1,,Xanthomonas oryzae pv. oryzae GXB1-2,1,literature_curated,0.800000,NCBI: PX682311.1
PX682312.1,,Xanthomonas oryzae pv. oryzae GX2-3,1,literature_curated,0.800000,NCBI: PX682312.1
PX682313.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682313.1
PX682314.1,,Xanthomonas oryzae pv. oryzae GXB1-2,1,literature_curated,0.800000,NCBI: PX682314.1
PX682315.1,,Xanthomonas oryzae pv. oryzae LN4,1,literature_curated,0.800000,NCBI: PX682315.1
PX682317.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682317.1
PX682318.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682318.1
PX682319.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682319.1
PX682320.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682320.1
PX682321.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682321.1
PX682322.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682322.1
PX682323.1,,Xanthomonas oryzae pv. oryzae GXB1-2,1,literature_curated,0.800000,NCBI: PX682323.1
PX682324.1,,Xanthomonas oryzae pv. oryzae N1,1,literature_curated,0.800000,NCBI: PX682324.1
PX682327.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682327.1
PX682328.1,,Xanthomonas oryzae pv. oryzae N1,1,literature_curated,0.800000,NCBI: PX682328.1
PX682329.1,,Xanthomonas oryzae pv. oryzae LN4,1,literature_curated,0.800000,NCBI: PX682329.1
OQ446483.1,NZ_CP166095,Xanthomonas arboricola,1,literature_curated,0.800000,NCBI: OQ446483.1
PX682316.1,,Xanthomonas oryzae pv. oryzae LN4,1,literature_curated,0.800000,NCBI: PX682316.1
NC_072499.1,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: NC_072499.1
NC_073094.1,,Xanthomonas translucens pv. translucens (DSM 18974),1,literature_curated,0.800000,NCBI: NC_073094.1
